[12/03/2020 18:45:39] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_admin], Params: [] 
[13/03/2020 9:37:31] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_effect_menu], Params: [] 
[13/03/2020 9:37:32] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_effect_menu], Params: [] 
[13/03/2020 9:37:33] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_effect_menu], Params: [ 115] 
[13/03/2020 9:37:36] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_effect_menu], Params: [ 1116] 
[13/03/2020 9:37:39] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_effect_menu], Params: [ 212] 
[13/03/2020 9:37:51] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_social_menu], Params: [] 
[13/03/2020 9:37:55] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_social_menu], Params: [ 3] 
[13/03/2020 9:37:59] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_admin3], Params: [] 
[13/03/2020 9:38:00] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_abnormal_menu], Params: [] 
[13/03/2020 9:38:07] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_abnormal_menu], Params: [ 8000] 
[13/03/2020 9:38:09] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_abnormal_menu], Params: [ 8000] 
[13/03/2020 9:38:11] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_abnormal_menu], Params: [ 8] 
[13/03/2020 9:38:17] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_abnormal_menu], Params: [ 8] 
[13/03/2020 9:38:20] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_abnormal_menu], Params: [ 10] 
[13/03/2020 9:38:21] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_abnormal_menu], Params: [ 10] 
[13/03/2020 9:38:24] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_abnormal_menu], Params: [ 20] 
[13/03/2020 9:38:25] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_abnormal_menu], Params: [ 20] 
[13/03/2020 9:38:27] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_abnormal_menu], Params: [ 40] 
[13/03/2020 9:38:29] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_abnormal_menu], Params: [ 40] 
[13/03/2020 9:38:30] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_abnormal_menu], Params: [ 4] 
[13/03/2020 9:38:31] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_abnormal_menu], Params: [ 4] 
[13/03/2020 9:38:35] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_abnormal_menu], Params: [ 100] 
[13/03/2020 9:38:36] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_abnormal_menu], Params: [ 100] 
[13/03/2020 9:38:38] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_abnormal_menu], Params: [ 400] 
[13/03/2020 9:38:40] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_abnormal_menu], Params: [ 400] 
[13/03/2020 9:38:41] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_abnormal_menu], Params: [ 800] 
[13/03/2020 9:38:45] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_abnormal_menu], Params: [ 800] 
[13/03/2020 9:38:46] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_abnormal_menu], Params: [ 1000] 
[13/03/2020 9:38:51] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_abnormal_menu], Params: [ 1000] 
[13/03/2020 9:38:54] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_abnormal_menu], Params: [ 4000] 
[13/03/2020 9:39:08] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_abnormal_menu], Params: [ 4000] 
[13/03/2020 9:39:10] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_abnormal_menu], Params: [ 80000] 
[13/03/2020 9:39:24] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_abnormal_menu], Params: [ 80000] 
[13/03/2020 9:39:26] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_abnormal_menu], Params: [ 40000] 
[13/03/2020 9:39:27] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_abnormal_menu], Params: [ 40000] 
[13/03/2020 9:39:28] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_abnormal_menu], Params: [ 20000] 
[13/03/2020 9:39:36] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_abnormal_menu], Params: [ 20000] 
[13/03/2020 9:39:37] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_abnormal_menu], Params: [ 10000] 
[13/03/2020 9:39:40] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_abnormal_menu], Params: [ 10000] 
[13/03/2020 9:39:42] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_abnormal_menu], Params: [ 10000] 
[13/03/2020 9:39:43] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_abnormal_menu], Params: [ 10000] 
[13/03/2020 9:39:44] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_abnormal_menu], Params: [ 200000] 
[13/03/2020 9:39:51] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_abnormal_menu], Params: [ 200000] 
[13/03/2020 9:39:52] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_abnormal_menu], Params: [ 400000] 
[13/03/2020 9:40:11] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_abnormal_menu], Params: [ 400000] 
[13/03/2020 9:40:11] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_abnormal_menu], Params: [ 200000] 
[13/03/2020 9:41:35] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_abnormal_menu], Params: [ 200000] 
[13/03/2020 9:41:50] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_abnormal_menu], Params: [ 800000] 
[13/03/2020 9:42:36] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_abnormal_menu], Params: [ 800000] 
[13/03/2020 10:00:46] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_admin], Params: [] 
[13/03/2020 10:00:48] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_find_character], Params: [] 
[13/03/2020 10:01:06] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_server_restart 1], Params: [] 
[13/03/2020 10:03:43] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_admin], Params: [] 
[13/03/2020 10:03:44] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_invis_menu], Params: [] 
[13/03/2020 10:32:27] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_spawn 66], Params: [] 
[13/03/2020 10:32:40] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_setew], Params: [] 
[13/03/2020 10:32:44] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_setew], Params: [ 55555] 
[13/03/2020 10:32:55] --> GM: Bangsat [268479153], Target: [Lilim Court Knight], Action: [admin_gmspeed 3], Params: [] 
[13/03/2020 10:35:09] --> GM: Bangsat [268479153], Target: [Lilim Court Knight], Action: [admin_delete], Params: [] 
[13/03/2020 10:35:41] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_setew], Params: [] 
[13/03/2020 10:35:49] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_setew], Params: [ 19] 
[13/03/2020 10:35:58] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_setew], Params: [ 20] 
[13/03/2020 10:36:01] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_setew], Params: [ 18] 
[13/03/2020 10:36:09] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_setew], Params: [ 17] 
[13/03/2020 10:36:17] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_setew], Params: [ 18] 
[13/03/2020 10:57:26] --> GM: Bangsat [268479153], Target: [Nephilim Guard], Action: [admin_admin], Params: [] 
[13/03/2020 10:57:31] --> GM: Bangsat [268479153], Target: [Nephilim Guard], Action: [admin_find_character], Params: [] 
[13/03/2020 11:08:08] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_admin], Params: [] 
[13/03/2020 11:08:10] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_invis_menu], Params: [] 
[13/03/2020 11:13:13] --> GM: Bangsat [268479153], Target: [Sayangku], Action: [admin_repair sayangku], Params: [] 
[13/03/2020 11:17:50] --> GM: Bangsat [268479153], Target: [Sayangku], Action: [admin_restore sayangku], Params: [] 
[13/03/2020 11:19:46] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_admin], Params: [] 
[13/03/2020 11:19:50] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_admin3], Params: [] 
[13/03/2020 11:19:52] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_abnormal_menu], Params: [] 
[13/03/2020 11:19:56] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_abnormal_menu], Params: [ 400000] 
[13/03/2020 11:20:10] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_help], Params: [ help/abnormal.htm] 
[13/03/2020 11:20:13] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_help], Params: [ help/server_menu.htm] 
[13/03/2020 11:20:27] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_help], Params: [ help/server_menu.htm] 
[13/03/2020 11:20:28] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_help], Params: [ help/server_menu.htm] 
[13/03/2020 11:20:29] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_help], Params: [ help/server_menu.htm] 
[13/03/2020 11:20:30] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_admin3], Params: [] 
[13/03/2020 11:20:34] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_effect_menu], Params: [] 
[13/03/2020 11:20:36] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_abnormal_menu], Params: [] 
[13/03/2020 11:20:38] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_help], Params: [ help/abnormal.htm] 
[13/03/2020 11:20:55] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_abnormal_menu], Params: [] 
[13/03/2020 11:21:03] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_abnormal_menu], Params: [ 200000] 
[13/03/2020 11:22:00] --> GM: Bangsat [268479153], Target: [Galein Musica], Action: [admin_admin], Params: [] 
[13/03/2020 11:22:07] --> GM: Bangsat [268479153], Target: [Galein Musica], Action: [admin_admin2], Params: [] 
[13/03/2020 11:22:11] --> GM: Bangsat [268479153], Target: [Galein Musica], Action: [admin_admin], Params: [] 
[13/03/2020 11:22:12] --> GM: Bangsat [268479153], Target: [Galein Musica], Action: [admin_find_character], Params: [] 
[13/03/2020 11:22:13] --> GM: Bangsat [268479153], Target: [Galein Musica], Action: [admin_character_info], Params: [ Bangsat] 
[13/03/2020 11:22:15] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_find_account], Params: [ Bangsat] 
[13/03/2020 11:22:26] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_admin], Params: [] 
[13/03/2020 11:22:27] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_find_character], Params: [] 
[13/03/2020 11:24:12] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_admin], Params: [] 
[13/03/2020 11:24:21] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_admin3], Params: [] 
[13/03/2020 11:24:26] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_abnormal_menu], Params: [] 
[13/03/2020 11:24:37] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_abnormal_menu], Params: [ 4000] 
[13/03/2020 11:25:21] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_abnormal_menu], Params: [ 8000] 
[13/03/2020 11:25:45] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_abnormal_menu], Params: [ 8000] 
[13/03/2020 11:25:49] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_abnormal_menu], Params: [ 10000] 
[13/03/2020 11:25:54] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_abnormal_menu], Params: [ 10000] 
[13/03/2020 11:25:56] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_abnormal_menu], Params: [ 10000] 
[13/03/2020 11:25:57] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_abnormal_menu], Params: [ 10000] 
[13/03/2020 11:26:05] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_abnormal_menu], Params: [ 1000] 
[13/03/2020 11:26:32] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_abnormal_menu], Params: [ 4000] 
[13/03/2020 11:42:00] --> GM: Bangsat [268479153], Target: [Nephilim Guard], Action: [admin_admin], Params: [] 
[13/03/2020 11:42:05] --> GM: Bangsat [268479153], Target: [Nephilim Guard], Action: [admin_server_restart 1], Params: [] 
[13/03/2020 11:46:39] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_admin], Params: [] 
[13/03/2020 11:46:40] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_invis_menu], Params: [] 
[13/03/2020 12:19:22] --> GM: Bangsat [268479153], Target: [Nephilim Guard], Action: [admin_show_droplist], Params: [ 69] 
[13/03/2020 12:23:40] --> GM: Bangsat [268479153], Target: [Looney the Cat], Action: [admin_gmspeed 3], Params: [] 
[13/03/2020 12:31:40] --> GM: Bangsat [268479153], Target: [Maximus], Action: [admin_admin], Params: [] 
[13/03/2020 12:31:41] --> GM: Bangsat [268479153], Target: [Maximus], Action: [admin_admin4], Params: [] 
[13/03/2020 12:31:45] --> GM: Bangsat [268479153], Target: [Maximus], Action: [admin_admin3], Params: [] 
[13/03/2020 12:31:46] --> GM: Bangsat [268479153], Target: [Maximus], Action: [admin_admin2], Params: [] 
[13/03/2020 12:31:48] --> GM: Bangsat [268479153], Target: [Maximus], Action: [admin_admin5], Params: [] 
[13/03/2020 12:31:55] --> GM: Bangsat [268479153], Target: [Maximus], Action: [admin_set_mod], Params: [ TvTEventParticipationNpcId=$menu_command] 
[13/03/2020 12:32:03] --> GM: Bangsat [268479153], Target: [Event Manager], Action: [admin_admin], Params: [] 
[13/03/2020 12:32:05] --> GM: Bangsat [268479153], Target: [Event Manager], Action: [admin_admin2], Params: [] 
[13/03/2020 12:32:07] --> GM: Bangsat [268479153], Target: [Event Manager], Action: [admin_admin5], Params: [] 
[13/03/2020 12:32:09] --> GM: Bangsat [268479153], Target: [Event Manager], Action: [admin_set_mod], Params: [ TvTEventEnabled=true] 
[13/03/2020 12:32:12] --> GM: Bangsat [268479153], Target: [Event Manager], Action: [admin_admin], Params: [] 
[13/03/2020 12:32:14] --> GM: Bangsat [268479153], Target: [Event Manager], Action: [admin_admin2], Params: [] 
[13/03/2020 12:32:16] --> GM: Bangsat [268479153], Target: [Event Manager], Action: [admin_admin5], Params: [] 
[13/03/2020 12:36:04] --> GM: Bangsat [268479153], Target: [Event Manager], Action: [admin_recall crackz], Params: [] 
[13/03/2020 12:43:31] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_repair bangsat], Params: [] 
[13/03/2020 13:01:11] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_admin], Params: [] 
[13/03/2020 13:01:13] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_gmshop], Params: [] 
[13/03/2020 13:01:15] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_help], Params: [ gmshop/Weapons.htm] 
[13/03/2020 13:01:16] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_help], Params: [ gmshop/agradew.htm] 
[13/03/2020 13:46:23] --> GM: Bangsat [268479153], Target: [QZRUH], Action: [admin_admin], Params: [] 
[13/03/2020 13:46:25] --> GM: Bangsat [268479153], Target: [QZRUH], Action: [admin_create_item], Params: [] 
[13/03/2020 13:46:38] --> GM: Bangsat [268479153], Target: [QZRUH], Action: [admin_create_item], Params: [ 5575 99999999] 
[13/03/2020 14:01:29] --> GM: Bangsat [268479153], Target: [Event Manager], Action: [admin_admin], Params: [] 
[13/03/2020 14:01:32] --> GM: Bangsat [268479153], Target: [Event Manager], Action: [admin_find_character], Params: [] 
[13/03/2020 14:01:45] --> GM: Bangsat [268479153], Target: [Event Manager], Action: [admin_recall splitzfire], Params: [] 
[13/03/2020 14:01:49] --> GM: Bangsat [268479153], Target: [Event Manager], Action: [admin_recall qzruh], Params: [] 
[13/03/2020 14:01:54] --> GM: Bangsat [268479153], Target: [Event Manager], Action: [admin_recall cardinal], Params: [] 
[13/03/2020 14:01:58] --> GM: Bangsat [268479153], Target: [Event Manager], Action: [admin_recall grand], Params: [] 
[13/03/2020 14:02:41] --> GM: Bangsat [268479153], Target: [Cardinal], Action: [admin_setlevel 80], Params: [] 
[13/03/2020 14:51:21] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_admin], Params: [] 
[13/03/2020 14:51:25] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_admin], Params: [] 
[13/03/2020 14:51:27] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_find_character], Params: [] 
[13/03/2020 16:04:45] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_admin], Params: [] 
[13/03/2020 16:04:46] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_find_character], Params: [] 
[13/03/2020 16:15:03] --> GM: Bangsat [268479153], Target: [Maximus], Action: [admin_admin], Params: [] 
[13/03/2020 16:15:05] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_create_item], Params: [] 
[13/03/2020 16:52:04] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_admin], Params: [] 
[13/03/2020 17:33:11] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_admin], Params: [] 
[13/03/2020 17:33:13] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_find_character], Params: [] 
[13/03/2020 17:33:19] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_admin], Params: [] 
[13/03/2020 17:33:20] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_find_character], Params: [] 
[13/03/2020 17:33:24] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_admin2], Params: [] 
[13/03/2020 17:33:26] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_admin], Params: [] 
[13/03/2020 17:33:27] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_move_to], Params: [] 
[13/03/2020 17:33:30] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_help], Params: [ tele/locations/c2.htm] 
[13/03/2020 17:33:37] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_show_moves], Params: [] 
[13/03/2020 17:33:42] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_help], Params: [ tele/other.htm] 
[13/03/2020 17:33:45] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_help], Params: [ tele/others/darkelven.htm] 
[13/03/2020 17:33:46] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_move_to], Params: [ -47129 59678 -3336] 
[13/03/2020 17:34:37] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_server_restart 1], Params: [] 
[13/03/2020 17:37:57] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_admin], Params: [] 
[13/03/2020 17:37:59] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_invis_menu], Params: [] 
[13/03/2020 17:39:48] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_gmspeed 3], Params: [] 
[13/03/2020 17:43:13] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_setclass], Params: [] 
[13/03/2020 17:43:23] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_setclass], Params: [ 103] 
[13/03/2020 17:43:37] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_show_skills], Params: [] 
[13/03/2020 17:43:41] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_give_all_skills], Params: [] 
[13/03/2020 17:44:23] --> GM: Bangsat [268479153], Target: [Lesser Succubus Tilfo], Action: [admin_spawn 66], Params: [] 
[13/03/2020 17:44:37] --> GM: Bangsat [268479153], Target: [Lilim Court Knight], Action: [admin_delete], Params: [] 
[13/03/2020 17:44:53] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_spawn 66 5], Params: [] 
[13/03/2020 17:44:59] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_admin], Params: [] 
[13/03/2020 17:45:01] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_move_to], Params: [] 
[13/03/2020 17:45:02] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_tele], Params: [] 
[13/03/2020 17:45:03] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_teleto], Params: [ r] 
[13/03/2020 17:45:09] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_admin], Params: [] 
[13/03/2020 17:45:11] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_move_to], Params: [] 
[13/03/2020 17:45:13] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_help], Params: [ tele/locations/interlude.htm] 
[13/03/2020 17:45:15] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_help], Params: [ teleports.htm] 
[13/03/2020 17:45:17] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_tele], Params: [] 
[13/03/2020 17:45:18] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_teleto], Params: [ end] 
[13/03/2020 17:49:33] --> GM: Bangsat [268479153], Target: [Lilim Court Knight], Action: [admin_admin], Params: [] 
[13/03/2020 17:49:35] --> GM: Bangsat [268479153], Target: [Lilim Court Knight], Action: [admin_find_character], Params: [] 
[13/03/2020 17:49:36] --> GM: Bangsat [268479153], Target: [Lilim Court Knight], Action: [admin_character_info], Params: [ Kiyara] 
[13/03/2020 17:49:40] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_setclass], Params: [] 
[13/03/2020 17:49:41] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_current_player], Params: [] 
[13/03/2020 17:51:15] --> GM: Bangsat [268479153], Target: [Lilim Court Knight], Action: [admin_admin], Params: [] 
[13/03/2020 17:51:18] --> GM: Bangsat [268479153], Target: [Lilim Court Knight], Action: [admin_find_character], Params: [] 
[13/03/2020 17:53:27] --> GM: Bangsat [268479153], Target: [Lilim Court Knight], Action: [admin_delete], Params: [] 
[13/03/2020 17:53:30] --> GM: Bangsat [268479153], Target: [Lilim Court Knight], Action: [admin_delete], Params: [] 
[13/03/2020 17:53:31] --> GM: Bangsat [268479153], Target: [Lilim Court Knight], Action: [admin_delete], Params: [] 
[13/03/2020 17:53:33] --> GM: Bangsat [268479153], Target: [Lilim Court Knight], Action: [admin_delete], Params: [] 
[13/03/2020 17:53:35] --> GM: Bangsat [268479153], Target: [Lilim Court Knight], Action: [admin_delete], Params: [] 
[13/03/2020 17:53:37] --> GM: Bangsat [268479153], Target: [Lilim Court Knight], Action: [admin_delete], Params: [] 
[13/03/2020 17:53:42] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_admin], Params: [] 
[13/03/2020 17:53:44] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_find_character], Params: [] 
[13/03/2020 17:54:58] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_admin], Params: [] 
[13/03/2020 17:55:02] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_move_to], Params: [] 
[13/03/2020 17:55:04] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_help], Params: [ tele/others/necat.htm] 
[13/03/2020 17:55:12] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_move_to], Params: [ 182922 -13001 -4899] 
[13/03/2020 18:03:36] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_spawn 25286], Params: [] 
[13/03/2020 18:03:52] --> GM: Bangsat [268479153], Target: [Anakim], Action: [admin_show_droplist], Params: [ 25286] 
[13/03/2020 18:03:53] --> GM: Bangsat [268479153], Target: [Anakim], Action: [admin_close_window], Params: [] 
[13/03/2020 18:03:56] --> GM: Bangsat [268479153], Target: [Anakim], Action: [admin_delete], Params: [] 
[13/03/2020 18:05:47] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_admin], Params: [] 
[13/03/2020 18:05:49] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_move_to], Params: [] 
[13/03/2020 18:06:21] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_move_to], Params: [ 184410 -10111 -5488] 
[13/03/2020 18:10:32] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_admin], Params: [] 
[13/03/2020 18:10:34] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_find_character], Params: [] 
[13/03/2020 18:10:48] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_admin], Params: [] 
[13/03/2020 18:10:49] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_move_to], Params: [] 
[13/03/2020 18:10:51] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_help], Params: [ tele/others/fortress.htm] 
[13/03/2020 18:10:52] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_show_moves], Params: [] 
[13/03/2020 18:10:55] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_help], Params: [ tele/castles.htm] 
[13/03/2020 18:10:58] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_show_moves], Params: [] 
[13/03/2020 18:11:01] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_help], Params: [ tele/other.htm] 
[13/03/2020 18:11:06] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_help], Params: [ tele/others/fortress.htm] 
[13/03/2020 18:11:11] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_show_moves], Params: [] 
[13/03/2020 18:11:13] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_help], Params: [ tele/other.htm] 
[13/03/2020 18:11:14] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_help], Params: [ tele/others/aden.htm] 
[13/03/2020 18:11:20] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_admin], Params: [] 
[13/03/2020 18:11:23] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_find_dualbox], Params: [] 
[13/03/2020 18:11:27] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_find_ip], Params: [ 125.161.130.24] 
[13/03/2020 18:11:29] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_admin], Params: [] 
[13/03/2020 18:11:31] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_find_character], Params: [] 
[13/03/2020 18:11:33] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_admin2], Params: [] 
[13/03/2020 18:11:38] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_char_manage], Params: [] 
[13/03/2020 18:11:48] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_teleport_character_to_menu], Params: [ 147450 26741 -2204] 
[13/03/2020 18:11:52] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_teleport_character_to_menu], Params: [ 147450 26741 -2204] 
[13/03/2020 18:11:58] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_teleport_character_to_menu], Params: [ 83400 147943 -3404] 
[13/03/2020 18:12:06] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_goto_char_menu], Params: [] 
