[13/03/2020 2:28:45] --> GM: GRAND [268477351], Target: [SinClaire], Action: [admin_admin], Params: [] 
[13/03/2020 13:58:24] --> GM: GRAND [268477351], Target: [Varka's Holy Altar], Action: [admin_admin], Params: [] 
[13/03/2020 13:58:27] --> GM: GRAND [268477351], Target: [Varka's Holy Altar], Action: [admin_admin2], Params: [] 
[13/03/2020 13:58:28] --> GM: GRAND [268477351], Target: [Varka's Holy Altar], Action: [admin_admin], Params: [] 
[13/03/2020 13:58:30] --> GM: GRAND [268477351], Target: [Varka's Holy Altar], Action: [admin_move_to], Params: [] 
[13/03/2020 13:58:31] --> GM: GRAND [268477351], Target: [Varka's Holy Altar], Action: [admin_help], Params: [ tele/other.htm] 
[13/03/2020 13:58:33] --> GM: GRAND [268477351], Target: [Varka's Holy Altar], Action: [admin_help], Params: [ tele/raid.htm] 
[13/03/2020 13:58:34] --> GM: GRAND [268477351], Target: [Varka's Holy Altar], Action: [admin_help], Params: [ tele/raid/raid_80.htm] 
[13/03/2020 13:58:50] --> GM: GRAND [268477351], Target: [Varka's Holy Altar], Action: [admin_move_to], Params: [ 184542 -106330 -6304] 
[13/03/2020 13:59:25] --> GM: GRAND [268477351], Target: [Ember], Action: [admin_show_droplist], Params: [ 25319] 
[13/03/2020 13:59:26] --> GM: GRAND [268477351], Target: [Ember], Action: [admin_add_drop], Params: [ 25319] 
[13/03/2020 13:59:51] --> GM: GRAND [268477351], Target: [Ember], Action: [admin_add_drop], Params: [ 25319 57 0 12345678 23456789 800000] 
[13/03/2020 13:59:55] --> GM: GRAND [268477351], Target: [Ember], Action: [admin_add_drop], Params: [ 25319] 
[13/03/2020 14:00:19] --> GM: GRAND [268477351], Target: [Ember], Action: [admin_add_drop], Params: [ 25319 8163 1 2 4 600000] 
[13/03/2020 14:00:21] --> GM: GRAND [268477351], Target: [Ember], Action: [admin_show_droplist], Params: [ 25319] 
[13/03/2020 14:00:52] --> GM: GRAND [268477351], Target: [Ember], Action: [admin_close_window], Params: [] 
[13/03/2020 14:01:04] --> GM: GRAND [268477351], Target: [Ember], Action: [admin_admin], Params: [] 
[13/03/2020 14:01:06] --> GM: GRAND [268477351], Target: [Ember], Action: [admin_move_to], Params: [] 
[13/03/2020 14:01:07] --> GM: GRAND [268477351], Target: [Ember], Action: [admin_help], Params: [ tele/other.htm] 
[13/03/2020 14:01:09] --> GM: GRAND [268477351], Target: [Ember], Action: [admin_help], Params: [ tele/raid.htm] 
[13/03/2020 14:01:11] --> GM: GRAND [268477351], Target: [Ember], Action: [admin_help], Params: [ tele/raid/raid_80.htm] 
[13/03/2020 14:01:14] --> GM: GRAND [268477351], Target: [Ember], Action: [admin_move_to], Params: [ 148160 -73808 -4919] 
[13/03/2020 14:01:47] --> GM: GRAND [268477351], Target: [Ketra's Hero Hekaton], Action: [admin_edit_npc], Params: [ 25299] 
[13/03/2020 14:01:57] --> GM: GRAND [268477351], Target: [Ketra's Hero Hekaton], Action: [admin_show_droplist], Params: [ 25299] 
[13/03/2020 14:01:59] --> GM: GRAND [268477351], Target: [no-target], Action: [admin_add_drop], Params: [ 25299] 
[13/03/2020 14:02:19] --> GM: GRAND [268477351], Target: [Event Manager], Action: [admin_vis], Params: [] 
[13/03/2020 14:02:23] --> GM: GRAND [268477351], Target: [Event Manager], Action: [admin_invul], Params: [] 
[13/03/2020 14:13:07] --> GM: GRAND [268477351], Target: [no-target], Action: [admin_gmspeed 3], Params: [] 
[13/03/2020 14:13:08] --> GM: GRAND [268477351], Target: [no-target], Action: [admin_admin], Params: [] 
[13/03/2020 14:13:12] --> GM: GRAND [268477351], Target: [no-target], Action: [admin_admin], Params: [] 
[13/03/2020 14:13:19] --> GM: GRAND [268477351], Target: [no-target], Action: [admin_move_to], Params: [] 
[13/03/2020 14:13:21] --> GM: GRAND [268477351], Target: [no-target], Action: [admin_help], Params: [ tele/other.htm] 
[13/03/2020 14:13:24] --> GM: GRAND [268477351], Target: [no-target], Action: [admin_help], Params: [ tele/raid.htm] 
[13/03/2020 14:13:26] --> GM: GRAND [268477351], Target: [no-target], Action: [admin_help], Params: [ tele/raid/raid_80.htm] 
[13/03/2020 14:13:28] --> GM: GRAND [268477351], Target: [no-target], Action: [admin_move_to], Params: [ 148160 -73808 -4919] 
[13/03/2020 14:13:39] --> GM: GRAND [268477351], Target: [Ketra's Hero Hekaton], Action: [admin_show_droplist], Params: [ 25299] 
[13/03/2020 14:13:43] --> GM: GRAND [268477351], Target: [Ketra's Hero Hekaton], Action: [admin_add_drop], Params: [ 25299] 
[13/03/2020 14:13:58] --> GM: GRAND [268477351], Target: [Ketra's Hero Hekaton], Action: [admin_add_drop], Params: [ 25299 57 0 12345678 23456789 700000] 
[13/03/2020 14:14:00] --> GM: GRAND [268477351], Target: [Ketra's Hero Hekaton], Action: [admin_add_drop], Params: [ 25299] 
[13/03/2020 14:14:27] --> GM: GRAND [268477351], Target: [Ketra's Hero Hekaton], Action: [admin_add_drop], Params: [ 25299 8160 1 2 4 600000] 
[13/03/2020 14:14:33] --> GM: GRAND [268477351], Target: [Ketra's Hero Hekaton], Action: [admin_show_droplist], Params: [ 25299] 
[13/03/2020 14:15:21] --> GM: GRAND [268477351], Target: [Ketra's Hero Hekaton], Action: [admin_close_window], Params: [] 
[13/03/2020 14:15:22] --> GM: GRAND [268477351], Target: [Ketra's Hero Hekaton], Action: [admin_admin], Params: [] 
[13/03/2020 14:15:24] --> GM: GRAND [268477351], Target: [Ketra's Hero Hekaton], Action: [admin_move_to], Params: [] 
[13/03/2020 14:15:25] --> GM: GRAND [268477351], Target: [Ketra's Hero Hekaton], Action: [admin_help], Params: [ tele/other.htm] 
[13/03/2020 14:15:27] --> GM: GRAND [268477351], Target: [Ketra's Hero Hekaton], Action: [admin_help], Params: [ tele/raid.htm] 
[13/03/2020 14:15:29] --> GM: GRAND [268477351], Target: [Ketra's Hero Hekaton], Action: [admin_help], Params: [ tele/raid/raid_80.htm] 
[13/03/2020 14:15:41] --> GM: GRAND [268477351], Target: [Ketra's Hero Hekaton], Action: [admin_move_to], Params: [ 115552 -39200 -2480] 
[13/03/2020 14:16:08] --> GM: GRAND [268477351], Target: [Varka's Hero Shadith], Action: [admin_show_droplist], Params: [ 25309] 
[13/03/2020 14:16:10] --> GM: GRAND [268477351], Target: [Varka's Hero Shadith], Action: [admin_add_drop], Params: [ 25309] 
[13/03/2020 14:16:55] --> GM: GRAND [268477351], Target: [no-target], Action: [admin_invul], Params: [] 
[13/03/2020 14:17:11] --> GM: GRAND [268477351], Target: [no-target], Action: [admin_add_drop], Params: [ 25309 8169 1 2 4 600000] 
[13/03/2020 14:17:13] --> GM: GRAND [268477351], Target: [no-target], Action: [admin_add_drop], Params: [ 25309] 
[13/03/2020 14:17:30] --> GM: GRAND [268477351], Target: [no-target], Action: [admin_add_drop], Params: [ 25309 57 0 12345678 23456789 700000] 
[13/03/2020 14:20:16] --> GM: GRAND [268477351], Target: [no-target], Action: [admin_show_droplist], Params: [ 25309] 
[13/03/2020 14:21:11] --> GM: GRAND [268477351], Target: [no-target], Action: [admin_close_window], Params: [] 
[13/03/2020 14:21:13] --> GM: GRAND [268477351], Target: [no-target], Action: [admin_admin], Params: [] 
[13/03/2020 14:21:17] --> GM: GRAND [268477351], Target: [no-target], Action: [admin_move_to], Params: [] 
[13/03/2020 14:21:18] --> GM: GRAND [268477351], Target: [no-target], Action: [admin_help], Params: [ tele/other.htm] 
[13/03/2020 14:21:21] --> GM: GRAND [268477351], Target: [no-target], Action: [admin_help], Params: [ tele/raid.htm] 
[13/03/2020 14:21:23] --> GM: GRAND [268477351], Target: [no-target], Action: [admin_help], Params: [ tele/raid/raid_80.htm] 
[13/03/2020 14:21:31] --> GM: GRAND [268477351], Target: [no-target], Action: [admin_move_to], Params: [ 80000 -55000 -6000] 
[13/03/2020 14:21:49] --> GM: GRAND [268477351], Target: [Queen Shyeed], Action: [admin_show_droplist], Params: [ 25514] 
[13/03/2020 14:21:51] --> GM: GRAND [268477351], Target: [Queen Shyeed], Action: [admin_add_drop], Params: [ 25514] 
[13/03/2020 14:22:16] --> GM: GRAND [268477351], Target: [Queen Shyeed], Action: [admin_add_drop], Params: [ 25514 57 0 12345678 23456789 700000] 
[13/03/2020 14:22:17] --> GM: GRAND [268477351], Target: [Queen Shyeed], Action: [admin_add_drop], Params: [ 25514] 
[13/03/2020 14:22:40] --> GM: GRAND [268477351], Target: [Queen Shyeed], Action: [admin_add_drop], Params: [ 25514 8175 1 2 4 600000] 
[13/03/2020 14:22:42] --> GM: GRAND [268477351], Target: [Queen Shyeed], Action: [admin_show_droplist], Params: [ 25514] 
[13/03/2020 14:27:39] --> GM: GRAND [268477351], Target: [Queen Shyeed], Action: [admin_admin], Params: [] 
[13/03/2020 14:27:41] --> GM: GRAND [268477351], Target: [Queen Shyeed], Action: [admin_move_to], Params: [] 
[13/03/2020 14:27:43] --> GM: GRAND [268477351], Target: [Queen Shyeed], Action: [admin_help], Params: [ tele/other.htm] 
[13/03/2020 14:27:44] --> GM: GRAND [268477351], Target: [Queen Shyeed], Action: [admin_help], Params: [ tele/raid.htm] 
[13/03/2020 14:27:45] --> GM: GRAND [268477351], Target: [Queen Shyeed], Action: [admin_help], Params: [ tele/raid/raid_80.htm] 
[13/03/2020 14:28:01] --> GM: GRAND [268477351], Target: [Queen Shyeed], Action: [admin_move_to], Params: [ 113000 -76000 200] 
[13/03/2020 14:28:42] --> GM: GRAND [268477351], Target: [Holy Grail], Action: [admin_admin], Params: [] 
[13/03/2020 14:28:44] --> GM: GRAND [268477351], Target: [Holy Grail], Action: [admin_move_to], Params: [] 
[13/03/2020 14:28:46] --> GM: GRAND [268477351], Target: [Holy Grail], Action: [admin_help], Params: [ tele/other.htm] 
[13/03/2020 14:28:47] --> GM: GRAND [268477351], Target: [Holy Grail], Action: [admin_help], Params: [ tele/raid.htm] 
[13/03/2020 14:28:49] --> GM: GRAND [268477351], Target: [Holy Grail], Action: [admin_help], Params: [ tele/raid/raid_80.htm] 
[13/03/2020 14:28:53] --> GM: GRAND [268477351], Target: [Holy Grail], Action: [admin_move_to], Params: [ -16382 -53450 -10432] 
[13/03/2020 14:29:12] --> GM: GRAND [268477351], Target: [Andreas' Captain of the Royal Guard], Action: [admin_show_droplist], Params: [ 22188] 
[13/03/2020 14:29:16] --> GM: GRAND [268477351], Target: [Andreas' Captain of the Royal Guard], Action: [admin_edit_drop], Params: [ 22188 57 0] 
[13/03/2020 14:29:37] --> GM: GRAND [268477351], Target: [Andreas' Captain of the Royal Guard], Action: [admin_admin], Params: [] 
[13/03/2020 14:29:39] --> GM: GRAND [268477351], Target: [Andreas' Captain of the Royal Guard], Action: [admin_move_to], Params: [] 
[13/03/2020 14:29:41] --> GM: GRAND [268477351], Target: [Andreas' Captain of the Royal Guard], Action: [admin_help], Params: [ tele/other.htm] 
[13/03/2020 14:29:45] --> GM: GRAND [268477351], Target: [Andreas' Captain of the Royal Guard], Action: [admin_help], Params: [ tele/raid.htm] 
[13/03/2020 14:29:48] --> GM: GRAND [268477351], Target: [Andreas' Captain of the Royal Guard], Action: [admin_help], Params: [ tele/raid/raid_80.htm] 
[13/03/2020 14:29:54] --> GM: GRAND [268477351], Target: [Andreas' Captain of the Royal Guard], Action: [admin_help], Params: [ tele/raid.htm] 
[13/03/2020 14:29:55] --> GM: GRAND [268477351], Target: [Andreas' Captain of the Royal Guard], Action: [admin_help], Params: [ tele/raid/raid_special.htm] 
[13/03/2020 14:30:04] --> GM: GRAND [268477351], Target: [Andreas' Captain of the Royal Guard], Action: [admin_help], Params: [ tele/raid.htm] 
[13/03/2020 14:30:10] --> GM: GRAND [268477351], Target: [Andreas' Captain of the Royal Guard], Action: [admin_help], Params: [ tele/raid/raid_70.htm] 
[13/03/2020 14:30:17] --> GM: GRAND [268477351], Target: [Andreas' Captain of the Royal Guard], Action: [admin_move_to], Params: [ 130500 59098 3584] 
[13/03/2020 14:30:42] --> GM: GRAND [268477351], Target: [Roaring Skylancer], Action: [admin_show_droplist], Params: [ 25163] 
[13/03/2020 14:30:50] --> GM: GRAND [268477351], Target: [Roaring Skylancer], Action: [admin_admin], Params: [] 
[13/03/2020 14:30:55] --> GM: GRAND [268477351], Target: [Roaring Skylancer], Action: [admin_move_to], Params: [] 
[13/03/2020 14:30:57] --> GM: GRAND [268477351], Target: [Roaring Skylancer], Action: [admin_help], Params: [ tele/other.htm] 
[13/03/2020 14:30:59] --> GM: GRAND [268477351], Target: [Roaring Skylancer], Action: [admin_help], Params: [ tele/raid.htm] 
[13/03/2020 14:31:00] --> GM: GRAND [268477351], Target: [Roaring Skylancer], Action: [admin_help], Params: [ tele/raid/raid_70.htm] 
[13/03/2020 14:31:06] --> GM: GRAND [268477351], Target: [Roaring Skylancer], Action: [admin_move_to], Params: [ 113600 15104 9559] 
[13/03/2020 14:31:23] --> GM: GRAND [268477351], Target: [Cherub Galaxia], Action: [admin_show_droplist], Params: [ 25450] 
[13/03/2020 14:31:25] --> GM: GRAND [268477351], Target: [Cherub Galaxia], Action: [admin_add_drop], Params: [ 25450] 
[13/03/2020 14:31:53] --> GM: GRAND [268477351], Target: [Cherub Galaxia], Action: [admin_add_drop], Params: [ 25450 57 0 12345678 23456789 700000] 
[13/03/2020 14:31:54] --> GM: GRAND [268477351], Target: [Cherub Galaxia], Action: [admin_add_drop], Params: [ 25450] 
[13/03/2020 14:32:20] --> GM: GRAND [268477351], Target: [Cherub Galaxia], Action: [admin_add_drop], Params: [ 25450 8172 1 2 4 600000] 
[13/03/2020 14:32:22] --> GM: GRAND [268477351], Target: [Cherub Galaxia], Action: [admin_show_droplist], Params: [ 25450] 
[13/03/2020 14:32:59] --> GM: GRAND [268477351], Target: [Cherub Galaxia], Action: [admin_admin], Params: [] 
[13/03/2020 14:33:04] --> GM: GRAND [268477351], Target: [Cherub Galaxia], Action: [admin_move_to], Params: [] 
[13/03/2020 14:33:06] --> GM: GRAND [268477351], Target: [Cherub Galaxia], Action: [admin_help], Params: [ tele/other.htm] 
[13/03/2020 14:33:15] --> GM: GRAND [268477351], Target: [Cherub Galaxia], Action: [admin_help], Params: [ tele/raid.htm] 
[13/03/2020 14:33:18] --> GM: GRAND [268477351], Target: [Cherub Galaxia], Action: [admin_help], Params: [ tele/raid/raid_70.htm] 
[13/03/2020 14:33:30] --> GM: GRAND [268477351], Target: [Cherub Galaxia], Action: [admin_move_to], Params: [ 134672 -115600 -1216] 
[13/03/2020 14:34:00] --> GM: GRAND [268477351], Target: [GRAND], Action: [admin_admin], Params: [] 
[13/03/2020 14:34:05] --> GM: GRAND [268477351], Target: [GRAND], Action: [admin_admin2], Params: [] 
[13/03/2020 14:34:10] --> GM: GRAND [268477351], Target: [GRAND], Action: [admin_show_characters], Params: [ 0] 
[13/03/2020 14:34:20] --> GM: GRAND [268477351], Target: [GRAND], Action: [admin_character_info], Params: [ GRAND] 
[13/03/2020 14:34:22] --> GM: GRAND [268477351], Target: [GRAND], Action: [admin_edit_character], Params: [] 
[13/03/2020 14:35:48] --> GM: GRAND [268477351], Target: [GRAND], Action: [admin_current_player], Params: [] 
[13/03/2020 14:38:29] --> GM: GRAND [268477351], Target: [GRAND], Action: [admin_show_characters], Params: [ 0] 
[13/03/2020 14:38:29] --> GM: GRAND [268477351], Target: [GRAND], Action: [admin_admin], Params: [] 
[13/03/2020 14:38:31] --> GM: GRAND [268477351], Target: [GRAND], Action: [admin_move_to], Params: [] 
[13/03/2020 14:38:37] --> GM: GRAND [268477351], Target: [GRAND], Action: [admin_help], Params: [ tele/other.htm] 
[13/03/2020 14:38:39] --> GM: GRAND [268477351], Target: [GRAND], Action: [admin_help], Params: [ tele/raid.htm] 
[13/03/2020 14:38:41] --> GM: GRAND [268477351], Target: [GRAND], Action: [admin_help], Params: [ tele/raid/raid_70.htm] 
[13/03/2020 14:38:49] --> GM: GRAND [268477351], Target: [GRAND], Action: [admin_move_to], Params: [ 172000 55000 -5400] 
[13/03/2020 14:39:11] --> GM: GRAND [268477351], Target: [Last Lesser Giant Glaki], Action: [admin_admin], Params: [] 
[13/03/2020 14:39:12] --> GM: GRAND [268477351], Target: [Last Lesser Giant Glaki], Action: [admin_move_to], Params: [] 
[13/03/2020 14:39:14] --> GM: GRAND [268477351], Target: [Last Lesser Giant Glaki], Action: [admin_help], Params: [ tele/other.htm] 
[13/03/2020 14:39:16] --> GM: GRAND [268477351], Target: [Last Lesser Giant Glaki], Action: [admin_help], Params: [ tele/raid.htm] 
[13/03/2020 14:39:18] --> GM: GRAND [268477351], Target: [Last Lesser Giant Glaki], Action: [admin_help], Params: [ tele/raid/raid_70.htm] 
[13/03/2020 14:39:25] --> GM: GRAND [268477351], Target: [Last Lesser Giant Glaki], Action: [admin_move_to], Params: [ 113102 16002 6992] 
[13/03/2020 14:39:40] --> GM: GRAND [268477351], Target: [no-target], Action: [admin_admin], Params: [] 
[13/03/2020 14:39:43] --> GM: GRAND [268477351], Target: [no-target], Action: [admin_move_to], Params: [] 
[13/03/2020 14:39:56] --> GM: GRAND [268477351], Target: [no-target], Action: [admin_admin], Params: [] 
[13/03/2020 14:39:58] --> GM: GRAND [268477351], Target: [no-target], Action: [admin_move_to], Params: [] 
[13/03/2020 14:40:00] --> GM: GRAND [268477351], Target: [no-target], Action: [admin_help], Params: [ tele/other.htm] 
[13/03/2020 14:40:03] --> GM: GRAND [268477351], Target: [no-target], Action: [admin_help], Params: [ tele/raid.htm] 
[13/03/2020 14:40:08] --> GM: GRAND [268477351], Target: [no-target], Action: [admin_help], Params: [ tele/raid/raid_70.htm] 
[13/03/2020 14:40:18] --> GM: GRAND [268477351], Target: [no-target], Action: [admin_move_to], Params: [ 123808 153408 -3671] 
[13/03/2020 14:40:44] --> GM: GRAND [268477351], Target: [Ocean Flame Ashakiel], Action: [admin_admin], Params: [] 
[13/03/2020 14:40:46] --> GM: GRAND [268477351], Target: [Ocean Flame Ashakiel], Action: [admin_move_to], Params: [] 
[13/03/2020 14:40:47] --> GM: GRAND [268477351], Target: [Ocean Flame Ashakiel], Action: [admin_help], Params: [ tele/other.htm] 
[13/03/2020 14:40:49] --> GM: GRAND [268477351], Target: [Ocean Flame Ashakiel], Action: [admin_help], Params: [ tele/raid.htm] 
[13/03/2020 14:40:51] --> GM: GRAND [268477351], Target: [Ocean Flame Ashakiel], Action: [admin_help], Params: [ tele/raid/raid_70.htm] 
[13/03/2020 14:40:56] --> GM: GRAND [268477351], Target: [Ocean Flame Ashakiel], Action: [admin_move_to], Params: [ 186304 -43744 -3193] 
[13/03/2020 14:41:20] --> GM: GRAND [268477351], Target: [Event Manager], Action: [admin_gmshop], Params: [] 
[13/03/2020 14:41:23] --> GM: GRAND [268477351], Target: [Event Manager], Action: [admin_admin], Params: [] 
[13/03/2020 14:41:25] --> GM: GRAND [268477351], Target: [Event Manager], Action: [admin_move_to], Params: [] 
[13/03/2020 14:41:28] --> GM: GRAND [268477351], Target: [Event Manager], Action: [admin_help], Params: [ tele/other.htm] 
[13/03/2020 14:41:30] --> GM: GRAND [268477351], Target: [Event Manager], Action: [admin_help], Params: [ tele/raid.htm] 
[13/03/2020 14:41:32] --> GM: GRAND [268477351], Target: [Event Manager], Action: [admin_help], Params: [ tele/raid/raid_70.htm] 
[13/03/2020 14:41:56] --> GM: GRAND [268477351], Target: [Event Manager], Action: [admin_move_to], Params: [ 116263 15916 6992] 
[13/03/2020 14:42:39] --> GM: GRAND [268477351], Target: [Longhorn Golkonda], Action: [admin_show_droplist], Params: [ 25126] 
[13/03/2020 14:42:40] --> GM: GRAND [268477351], Target: [Longhorn Golkonda], Action: [admin_add_drop], Params: [ 25126] 
[13/03/2020 14:42:42] --> GM: GRAND [268477351], Target: [Longhorn Golkonda], Action: [admin_show_droplist], Params: [ 25126] 
[13/03/2020 14:42:44] --> GM: GRAND [268477351], Target: [Longhorn Golkonda], Action: [admin_edit_drop], Params: [ 25126 57 0] 
[13/03/2020 14:43:02] --> GM: GRAND [268477351], Target: [Longhorn Golkonda], Action: [admin_edit_drop], Params: [ 25126 57 0 12345678 23456789 800000] 
[13/03/2020 14:43:03] --> GM: GRAND [268477351], Target: [Longhorn Golkonda], Action: [admin_show_droplist], Params: [ 25126] 
[13/03/2020 14:43:06] --> GM: GRAND [268477351], Target: [Longhorn Golkonda], Action: [admin_edit_drop], Params: [ 25126 57 0] 
[13/03/2020 14:43:08] --> GM: GRAND [268477351], Target: [Longhorn Golkonda], Action: [admin_show_droplist], Params: [ 25126] 
[13/03/2020 14:43:09] --> GM: GRAND [268477351], Target: [Longhorn Golkonda], Action: [admin_add_drop], Params: [ 25126] 
[13/03/2020 14:43:29] --> GM: GRAND [268477351], Target: [Longhorn Golkonda], Action: [admin_add_drop], Params: [ 25126 8176 1 2 4 600000] 
[13/03/2020 14:43:31] --> GM: GRAND [268477351], Target: [Longhorn Golkonda], Action: [admin_show_droplist], Params: [ 25126] 
[13/03/2020 14:43:33] --> GM: GRAND [268477351], Target: [Longhorn Golkonda], Action: [admin_close_window], Params: [] 
[13/03/2020 14:45:23] --> GM: GRAND [268477351], Target: [Longhorn Golkonda], Action: [admin_admin], Params: [] 
[13/03/2020 14:45:27] --> GM: GRAND [268477351], Target: [Longhorn Golkonda], Action: [admin_move_to], Params: [] 
[13/03/2020 14:45:41] --> GM: GRAND [268477351], Target: [Longhorn Golkonda], Action: [admin_help], Params: [ tele/towns.htm] 
[13/03/2020 14:45:44] --> GM: GRAND [268477351], Target: [Longhorn Golkonda], Action: [admin_show_moves], Params: [] 
[13/03/2020 14:45:48] --> GM: GRAND [268477351], Target: [Longhorn Golkonda], Action: [admin_help], Params: [ tele/towns.htm] 
[13/03/2020 14:45:51] --> GM: GRAND [268477351], Target: [Longhorn Golkonda], Action: [admin_help], Params: [ tele/towns/ti_starting.htm] 
[13/03/2020 14:45:57] --> GM: GRAND [268477351], Target: [Longhorn Golkonda], Action: [admin_help], Params: [ tele/towns.htm] 
[13/03/2020 14:45:59] --> GM: GRAND [268477351], Target: [Longhorn Golkonda], Action: [admin_show_moves], Params: [] 
[13/03/2020 14:46:02] --> GM: GRAND [268477351], Target: [Longhorn Golkonda], Action: [admin_help], Params: [ tele/other.htm] 
[13/03/2020 14:46:06] --> GM: GRAND [268477351], Target: [Longhorn Golkonda], Action: [admin_help], Params: [ tele/others/talkingisland.htm] 
[13/03/2020 14:46:09] --> GM: GRAND [268477351], Target: [Longhorn Golkonda], Action: [admin_move_to], Params: [ 48736 248463 -6162] 
[13/03/2020 14:46:39] --> GM: GRAND [268477351], Target: [no-target], Action: [admin_gmspeed 3], Params: [] 
[13/03/2020 14:47:43] --> GM: GRAND [268477351], Target: [Lilith], Action: [admin_show_droplist], Params: [ 25283] 
[13/03/2020 14:50:05] --> GM: GRAND [268477351], Target: [no-target], Action: [admin_admin], Params: [] 
[13/03/2020 14:50:08] --> GM: GRAND [268477351], Target: [no-target], Action: [admin_move_to], Params: [] 
[13/03/2020 14:50:11] --> GM: GRAND [268477351], Target: [no-target], Action: [admin_help], Params: [ tele/other.htm] 
[13/03/2020 14:50:14] --> GM: GRAND [268477351], Target: [no-target], Action: [admin_help], Params: [ tele/raid.htm] 
[13/03/2020 14:50:16] --> GM: GRAND [268477351], Target: [no-target], Action: [admin_help], Params: [ tele/raid/raid_special.htm] 
[13/03/2020 14:50:19] --> GM: GRAND [268477351], Target: [no-target], Action: [admin_move_to], Params: [ 174238 -89532 -5192] 
[13/03/2020 14:56:21] --> GM: GRAND [268477351], Target: [Scarlet van Halisha], Action: [admin_show_droplist], Params: [ 58] 
[13/03/2020 14:56:26] --> GM: GRAND [268477351], Target: [Scarlet van Halisha], Action: [admin_edit_drop], Params: [ 58 57 0] 
[13/03/2020 14:56:30] --> GM: GRAND [268477351], Target: [Scarlet van Halisha], Action: [admin_show_droplist], Params: [ 58] 
[13/03/2020 14:56:47] --> GM: GRAND [268477351], Target: [Scarlet van Halisha], Action: [admin_edit_drop], Params: [ 58 9901 2] 
[13/03/2020 14:56:52] --> GM: GRAND [268477351], Target: [Scarlet van Halisha], Action: [admin_show_droplist], Params: [ 58] 
[13/03/2020 14:57:27] --> GM: GRAND [268477351], Target: [Scarlet van Halisha], Action: [admin_edit_drop], Params: [ 58 9902 3] 
[13/03/2020 14:57:36] --> GM: GRAND [268477351], Target: [GRAND], Action: [admin_admin], Params: [] 
[13/03/2020 14:57:38] --> GM: GRAND [268477351], Target: [GRAND], Action: [admin_create_item], Params: [] 
[13/03/2020 14:57:45] --> GM: GRAND [268477351], Target: [GRAND], Action: [admin_create_item], Params: [ 9902 2] 
[13/03/2020 14:58:03] --> GM: GRAND [268477351], Target: [GRAND], Action: [admin_admin], Params: [] 
[13/03/2020 14:58:07] --> GM: GRAND [268477351], Target: [GRAND], Action: [admin_move_to], Params: [] 
[13/03/2020 14:58:12] --> GM: GRAND [268477351], Target: [GRAND], Action: [admin_help], Params: [ tele/other.htm] 
[13/03/2020 14:58:16] --> GM: GRAND [268477351], Target: [GRAND], Action: [admin_help], Params: [ tele/raid.htm] 
[13/03/2020 14:58:18] --> GM: GRAND [268477351], Target: [GRAND], Action: [admin_help], Params: [ tele/raid/raid_80.htm] 
[13/03/2020 14:58:21] --> GM: GRAND [268477351], Target: [GRAND], Action: [admin_move_to], Params: [ 26528 -8244 -20] 
[13/03/2020 15:01:04] --> GM: GRAND [268477351], Target: [no-target], Action: [admin_admin], Params: [] 
[13/03/2020 15:01:07] --> GM: GRAND [268477351], Target: [no-target], Action: [admin_move_to], Params: [] 
[13/03/2020 15:01:10] --> GM: GRAND [268477351], Target: [no-target], Action: [admin_help], Params: [ tele/other.htm] 
[13/03/2020 15:01:12] --> GM: GRAND [268477351], Target: [no-target], Action: [admin_help], Params: [ tele/raid.htm] 
[13/03/2020 15:01:14] --> GM: GRAND [268477351], Target: [no-target], Action: [admin_help], Params: [ tele/raid/raid_special.htm] 
[13/03/2020 15:01:16] --> GM: GRAND [268477351], Target: [no-target], Action: [admin_move_to], Params: [ 26174 -17134 -2747] 
[13/03/2020 15:01:29] --> GM: GRAND [268477351], Target: [no-target], Action: [admin_admin], Params: [] 
[13/03/2020 15:01:31] --> GM: GRAND [268477351], Target: [no-target], Action: [admin_move_to], Params: [] 
[13/03/2020 15:01:34] --> GM: GRAND [268477351], Target: [no-target], Action: [admin_help], Params: [ tele/other.htm] 
[13/03/2020 15:01:36] --> GM: GRAND [268477351], Target: [no-target], Action: [admin_help], Params: [ tele/raid.htm] 
[13/03/2020 15:01:39] --> GM: GRAND [268477351], Target: [no-target], Action: [admin_help], Params: [ tele/raid/raid_80.htm] 
[13/03/2020 15:01:48] --> GM: GRAND [268477351], Target: [no-target], Action: [admin_move_to], Params: [ 148160 -73808 -4919] 
[13/03/2020 15:02:02] --> GM: GRAND [268477351], Target: [Ketra's Hero Hekaton], Action: [admin_show_droplist], Params: [ 25299] 
[13/03/2020 15:02:03] --> GM: GRAND [268477351], Target: [Ketra's Hero Hekaton], Action: [admin_add_drop], Params: [ 25299] 
[13/03/2020 15:02:32] --> GM: GRAND [268477351], Target: [Ketra's Hero Hekaton], Action: [admin_add_drop], Params: [ 25299 9901 2 600 800 800000] 
[13/03/2020 15:02:34] --> GM: GRAND [268477351], Target: [Ketra's Hero Hekaton], Action: [admin_show_droplist], Params: [ 25299] 
[13/03/2020 15:02:40] --> GM: GRAND [268477351], Target: [Ketra's Hero Hekaton], Action: [admin_edit_drop], Params: [ 25299 9901 2] 
[13/03/2020 15:02:47] --> GM: GRAND [268477351], Target: [Ketra's Hero Hekaton], Action: [admin_show_droplist], Params: [ 25299] 
[13/03/2020 15:02:51] --> GM: GRAND [268477351], Target: [Ketra's Hero Hekaton], Action: [admin_admin], Params: [] 
